100 4012
0 1 3
0 4 -4
0 2 8
1 4 7
1 3 1
2 1 4
3 2 -5
3 0 2
4 3 6
50 97 71
98 79 49
64 19 95
76 30 87
59 11 95
84 17 77
76 57 71
34 19 73
100 12 49
33 4 70
51 30 66
22 16 53
78 64 55
89 86 58
55 73 97
99 60 93
13 9 85
90 84 96
53 55 91
98 40 85
25 49 75
70 60 86
21 73 58
80 83 87
67 69 53
88 37 85
36 97 65
13 81 76
9 33 68
61 68 96
90 42 69
51 43 94
52 1 78
48 28 55
29 72 75
46 31 51
33 14 67
13 57 90
41 86 83
4 71 96
66 65 91
91 20 57
10 52 94
45 30 87
64 15 81
34 32 95
48 66 72
36 86 58
51 44 91
68 59 59
90 31 55
39 27 83
27 38 59
35 13 74
46 92 97
80 84 85
59 7 52
28 90 79
23 48 60
26 10 60
27 17 67
78 79 76
2 91 93
67 80 52
66 61 95
88 11 79
72 50 66
43 40 90
64 25 53
99 13 62
38 39 77
65 59 70
67 68 59
21 42 83
92 40 99
100 82 55
49 26 69
21 29 50
89 28 56
21 19 70
27 63 80
73 63 55
81 40 71
33 86 80
42 69 80
25 97 82
55 85 80
22 3 99
64 89 49
59 78 74
39 47 55
14 1 58
73 28 60
61 63 86
58 27 57
78 30 54
7 62 57
50 4 68
26 63 91
94 26 92
44 67 50
70 11 79
54 17 64
41 1 92
18 66 74
81 95 83
59 24 81
7 6 91
45 53 59
13 27 82
68 27 64
81 7 66
18 97 94
9 11 54
58 55 70
50 88 86
43 64 85
87 15 71
30 7 92
21 50 80
90 80 49
24 55 56
71 85 52
57 16 54
14 79 68
86 51 53
7 42 49
100 53 89
62 60 88
81 84 96
94 81 81
8 57 70
6 92 52
72 48 83
95 27 74
53 78 94
52 28 76
30 56 88
46 6 50
78 24 59
34 45 92
83 7 82
1 69 69
2 81 63
31 32 96
6 15 66
26 46 68
42 59 69
24 8 67
76 7 84
55 18 77
80 27 89
80 18 96
57 17 89
79 98 90
74 58 62
51 96 54
65 94 58
92 50 87
90 96 97
60 14 70
2 85 76
66 69 76
35 48 93
38 6 71
42 97 71
19 54 54
35 55 80
68 29 91
84 45 68
51 38 64
23 95 73
13 53 57
53 94 56
12 3 49
68 92 62
93 51 55
87 7 64
96 75 57
81 26 77
25 93 52
73 22 94
83 42 57
75 45 49
97 9 51
16 50 67
72 20 67
47 8 61
22 63 70
13 18 81
59 82 68
63 34 88
68 60 83
18 7 69
64 66 62
31 34 68
83 75 53
16 36 72
49 88 76
40 26 55
97 78 97
7 12 76
58 71 56
7 100 93
53 29 71
57 75 88
82 9 87
10 12 65
75 12 67
56 96 60
96 2 99
3 22 59
85 3 89
90 18 55
30 12 66
72 71 59
16 92 87
13 2 54
6 98 84
76 24 88
49 64 87
61 77 70
63 1 65
92 7 79
53 60 49
10 49 63
71 91 68
