100 4012
0 1 2
0 3 1
1 3 3
1 4 10
2 0 4
2 5 5
3 2 2
3 4 2
3 6 4
3 5 8
4 6 6
6 5 1
13 50 50
38 89 95
65 41 70
18 7 65
2 91 56
65 66 86
71 13 69
92 82 63
21 43 83
31 88 67
39 99 66
46 25 54
1 49 52
76 68 78
74 14 71
95 31 77
56 30 72
89 43 93
55 43 58
14 70 66
42 92 56
5 77 62
97 10 85
61 16 93
58 59 79
68 97 65
99 22 98
13 48 67
83 31 68
23 92 64
12 9 62
97 51 90
58 9 90
52 56 63
83 71 79
5 8 68
87 43 74
17 98 54
50 93 85
59 13 64
7 95 80
83 87 55
97 54 97
5 88 95
59 82 80
19 57 67
28 52 87
73 81 69
10 74 52
30 74 75
69 5 83
57 19 96
69 4 54
2 28 89
24 64 75
85 24 78
2 38 99
87 14 81
44 26 61
90 100 97
80 87 71
8 15 95
52 97 81
31 57 97
84 6 97
62 6 53
94 42 69
87 54 80
50 77 89
50 30 52
10 70 97
63 95 80
91 35 82
33 41 71
47 84 82
39 95 52
58 8 62
99 29 61
60 27 67
55 50 56
34 67 81
19 44 68
32 4 84
39 54 66
37 23 71
89 62 85
22 30 86
63 1 76
27 71 87
76 97 85
87 19 56
2 22 86
24 83 86
2 71 66
26 47 93
19 33 83
90 65 83
56 98 98
33 69 72
18 2 54
57 95 87
92 53 68
47 72 98
29 6 69
96 45 69
13 84 77
47 39 88
31 32 57
14 82 93
64 34 56
63 43 53
26 31 68
91 100 88
57 47 77
41 39 87
69 65 71
15 32 92
57 71 72
40 50 94
89 55 97
39 64 96
30 99 98
82 96 53
83 1 85
12 99 59
32 83 76
31 55 76
87 1 59
72 70 80
66 28 73
62 40 86
18 23 64
79 83 78
50 26 62
48 75 85
71 88 84
96 95 88
31 100 88
41 91 74
49 46 78
72 42 68
66 72 93
99 12 86
10 73 83
66 46 83
29 4 94
34 69 77
5 95 89
58 87 98
67 86 96
97 24 89
76 24 68
97 4 51
26 13 76
1 8 62
27 43 69
41 13 78
50 95 60
73 10 59
29 1 80
10 56 74
33 8 92
84 76 56
94 22 73
48 96 65
38 10 60
18 33 78
76 22 62
98 49 70
45 74 92
22 88 71
75 68 73
16 44 97
52 90 93
29 23 93
28 61 97
98 2 90
88 17 78
71 81 61
79 52 96
79 98 93
82 93 52
77 100 72
38 94 97
69 64 54
89 23 89
44 66 86
26 33 96
43 39 72
81 16 97
80 50 79
37 6 81
95 49 73
75 25 52
60 41 64
81 91 57
23 18 64
32 78 84
97 18 81
16 12 56
75 29 71
71 24 52
63 60 81
55 57 56
92 1 80
53 44 82
24 31 98
1 40 83
28 66 74
1 66 69
31 43 55
36 15 83
23 55 56
39 40 68
76 30 80
34 1 61
54 11 70
18 56 96
15 98 65
21 8 90
42 13 98
74 35 64
10 53 71
35 11 60
28 57 53
94 66 95
62 43 82
96 67 88
22 7 73
66 54 98
74 27 88
37 16 50
19 89 93
33 7 64
40 25 62
3 95 68
90 45 71
66 64 84
9 33 60
99 95 67
93 4 74
90 23 63
33 21 54
83 36 87
42 33 64
77 60 86
18 81 83
18 4 85
63 45 56
16 45 93
62 74 80
46 97 63
63 65 96
44 68 52
54 78 55
65 43 63
94 11 80
95 17 83
48 91 58
51 50 95
17 1 84
3 41 69
44 69 51
31 76 71
50 68 90
30 8 95
57 43 73
19 97 83
35 36 89
34 92 68
2 95 78
48 87 54
9 22 66
28 13 73
21 86 72
75 39 64
83 9 89
46 96 54
13 21 87
36 72 56
81 9 91
40 45 98
86 24 82
44 27 60
2 16 69
87 85 96
78 10 81
84 11 56
13 34 82
70 31 56
20 5 84
100 87 57
34 33 71
59 20 69
77 19 76
94 99 70
74 36 54
32 47 95
26 60 82
93 24 52
100 42 63
50 43 60
19 82 68
79 71 58
80 91 62
93 56 56
63 16 90
69 84 94
32 54 77
58 28 87
83 72 63
23 76 97
97 62 70
8 53 58
68 87 59
60 90 68
47 3 95
23 40 75
57 88 89
4 45 54
87 25 51
48 40 89
100 30 80
74 40 56
65 24 98
91 86 54
42 98 66
41 38 60
79 14 54
4 55 59
80 22 85
59 4 59
45 15 55
2 92 55
2 9 71
91 76 68
1 96 57
34 52 89
97 8 63
67 58 93
74 57 56
28 50 53
80 16 90
36 46 65
22 52 92
26 65 93
36 57 66
20 28 84
6 37 85
19 100 64
46 67 61
90 19 75
38 34 72
81 79 84
59 75 62
59 7 56
54 82 98
68 58 55
6 62 80
37 20 87
89 37 86
48 39 88
22 56 90
6 84 63
16 57 69
5 30 83
29 89 80
89 40 53
98 6 72
16 100 51
96 62 85
42 34 89
57 14 81
41 25 51
5 6 72
71 44 95
13 65 67
32 21 81
50 32 57
82 30 74
72 3 85
52 86 62
60 12 72
92 68 95
87 23 51
69 87 62
94 73 57
49 61 70
93 75 82
42 43 96
13 88 96
90 50 66
20 88 52
1 7 80
64 75 77
97 100 77
11 38 82
60 6 75
50 58 60
85 47 90
69 83 77
67 52 81
44 98 91
64 41 63
96 64 94
28 78 88
30 23 95
79 56 69
78 77 50
14 86 82
97 12 95
87 67 89
72 5 85
45 69 59
84 41 76
45 92 55
20 67 52
90 80 65
7 81 89
55 69 91
43 62 99
19 38 65
18 5 79
93 95 52
75 53 84
63 70 55
77 40 95
56 37 59
35 24 61
3 70 74
22 70 98
14 73 52
5 50 79
19 42 69
92 90 98
27 61 52
12 3 96
76 64 60
46 49 96
98 54 77
52 13 76
2 34 67
46 41 97
54 5 83
29 71 76
12 93 52
67 30 53
9 55 96
14 29 72
93 59 71
75 33 80
9 6 62
40 64 67
82 1 61
8 7 65
78 39 89
55 68 53
85 77 80
4 81 86
92 70 83
10 54 71
80 94 82
69 75 75
45 4 53
28 83 95
68 76 86
82 80 87
3 11 59
80 100 85
24 2 84
61 32 56
6 27 99
59 53 84
34 9 61
100 59 84
87 37 56
70 87 87
13 20 88
100 68 97
77 90 50
12 88 94
6 92 73
70 21 60
22 78 81
89 61 80
94 31 97
41 92 85
70 63 61
19 14 92
83 79 51
39 89 64
6 46 82
5 7 78
91 50 57
55 63 65
6 57 58
2 89 71
77 35 55
82 8 60
15 51 97
22 64 77
27 16 65
27 18 55
67 80 50
34 17 93
34 11 61
91 32 54
16 69 90
77 53 98
3 12 66
47 48 59
49 44 95
7 9 89
21 69 77
79 23 59
100 71 72
57 26 59
1 26 84
100 25 54
66 33 59
9 29 87
41 96 92
69 25 57
50 90 68
69 92 50
66 67 54
71 11 80
13 59 65
15 1 85
14 17 96
10 93 69
45 58 84
10 24 95
63 83 88
50 17 70
72 7 94
15 38 83
95 64 62
56 52 60
58 78 69
94 84 63
2 46 94
61 78 64
33 78 79
26 93 89
43 89 71
48 8 74
68 93 95
10 1 72
90 92 65
30 13 53
8 60 76
50 40 73
74 52 71
92 31 57
17 96 85
14 18 72
36 4 60
59 9 91
26 94 70
68 29 58
74 22 76
52 38 89
7 55 66
48 60 97
38 66 99
54 95 60
100 45 57
53 46 77
67 1 99
82 17 89
38 96 87
25 72 56
33 3 56
16 6 68
51 24 74
34 37 68
64 85 76
88 89 58
53 62 86
54 15 60
65 12 88
80 27 87
51 69 52
12 24 54
80 6 75
70 2 95
77 45 77
84 9 64
73 48 72
71 58 54
21 91 77
95 21 67
11 91 79
51 43 56
4 74 69
28 80 97
83 16 82
93 7 91
26 50 76
9 89 83
92 34 56
29 12 69
65 74 95
30 70 93
15 26 87
13 8 58
55 49 64
29 43 74
35 19 73
3 72 60
17 73 51
33 32 65
14 48 77
18 22 60
93 44 51
87 47 57
23 47 59
5 60 51
10 39 54
67 37 95
24 79 77
53 77 95
53 66 80
63 89 87
77 4 86
55 40 65
22 9 72
68 26 86
93 71 92
53 72 93
87 28 67
66 73 63
92 8 89
77 69 94
84 62 65
10 51 83
97 11 67
24 7 64
31 47 68
76 69 93
59 62 54
62 12 76
90 11 99
21 51 83
93 13 91
86 43 62
49 39 91
74 59 79
38 45 57
6 56 54
65 38 79
40 61 90
74 19 66
91 24 93
55 76 58
38 2 64
45 62 71
88 38 62
88 27 63
43 4 50
87 88 82
71 49 59
49 23 91
29 34 80
65 39 74
28 72 77
3 16 63
75 1 61
78 61 84
56 21 60
69 42 59
83 21 90
46 33 57
85 29 69
7 29 95
60 89 69
11 79 98
40 86 71
32 88 64
1 90 90
19 76 69
41 95 72
13 19 58
11 49 93
17 47 59
70 22 85
