101 10000
77 92 67
43 18 73
6 70 33
2 95 1
84 77 28
62 98 74
29 7 77
24 21 59
98 6 17
28 58 20
2 96 5
64 29 48
1 62 90
39 81 25
70 42 94
80 52 5
67 1 45
13 24 2
79 49 69
94 7 75
9 62 99
44 42 20
82 48 91
20 85 32
49 9 95
52 92 55
59 19 24
25 91 49
29 54 36
42 22 15
38 51 96
92 28 84
63 31 25
41 3 81
94 100 94
67 22 15
16 16 5
57 48 72
33 16 59
23 97 3
91 31 2
51 67 29
100 62 35
39 23 27
71 43 17
44 23 59
45 48 54
64 68 12
13 34 31
58 97 32
50 61 2
31 49 100
27 92 87
37 9 69
15 20 34
57 41 34
19 88 31
11 67 46
6 84 21
3 21 35
23 50 87
44 17 53
88 16 48
30 20 73
12 50 35
36 33 31
75 5 59
23 73 31
65 75 99
11 87 7
16 55 64
42 5 44
63 34 92
46 5 23
4 5 51
50 47 53
92 28 26
45 68 25
5 87 93
40 67 41
65 46 85
13 9 84
9 22 18
2 7 70
29 40 48
90 25 14
32 32 33
78 26 49
38 94 69
85 7 49
39 9 100
71 2 21
99 70 88
61 41 60
92 85 42
48 64 98
19 97 9
27 46 12
12 33 23
40 84 1
6 62 61
52 15 19
8 66 38
92 47 32
73 77 66
81 70 2
84 60 53
40 3 27
66 60 98
91 73 42
61 9 15
81 63 12
74 61 50
43 80 75
28 29 100
100 89 52
45 13 25
48 11 68
80 92 3
46 7 44
80 65 22
9 84 33
45 4 85
8 94 59
46 4 69
21 68 86
54 4 23
95 84 57
74 91 22
92 96 93
27 44 58
26 60 39
29 77 15
51 68 3
50 98 92
25 62 17
71 50 90
85 13 3
82 54 49
22 27 20
82 44 22
83 8 87
94 39 21
6 47 35
11 65 74
78 93 12
99 47 38
54 64 95
11 30 47
95 32 47
76 28 26
9 28 68
87 13 20
9 73 86
23 100 100
29 35 93
68 42 17
96 11 83
26 27 92
17 42 14
9 94 7
59 70 71
67 87 8
44 65 13
68 9 75
96 25 7
4 56 92
3 98 42
88 98 8
38 61 8
95 61 21
89 32 54
21 65 64
40 60 65
50 26 49
26 10 15
56 44 18
35 75 44
64 17 41
57 11 34
64 5 27
70 28 7
58 84 18
58 51 67
64 99 62
61 78 41
76 25 91
5 16 87
21 75 34
33 52 40
53 33 35
64 33 23
32 20 55
83 57 10
6 76 1
27 71 31
53 20 87
47 83 24
9 26 13
69 62 44
10 18 67
4 52 19
68 68 12
49 37 96
94 43 99
23 35 31
63 3 96
96 82 20
71 37 9
75 55 70
65 49 45
31 81 61
63 35 47
62 98 72
83 7 44
56 32 86
56 66 68
64 72 27
81 15 68
64 86 70
29 34 28
89 37 67
6 65 59
78 90 69
46 83 58
49 82 67
24 69 35
85 99 13
52 48 69
30 62 70
51 76 72
6 38 57
4 70 99
98 12 30
76 31 59
44 28 83
70 31 80
62 13 18
14 40 80
91 37 79
31 68 16
25 87 46
25 2 68
72 39 55
26 6 39
50 45 95
63 39 26
52 2 68
47 18 31
98 94 6
61 21 57
54 98 29
84 52 86
37 5 15
66 78 26
23 43 22
61 28 36
10 43 45
82 37 68
73 12 7
6 23 93
38 54 60
84 90 8
73 71 21
54 26 44
28 56 40
81 89 15
66 55 39
94 69 96
92 71 17
82 16 42
82 81 80
47 78 83
73 64 79
40 87 71
42 10 9
1 89 20
77 56 34
58 99 8
70 19 97
96 42 14
64 52 43
37 12 9
55 24 95
99 65 64
7 39 11
91 16 77
98 73 69
18 58 18
7 40 82
19 53 65
55 2 47
89 6 2
36 60 62
100 26 82
48 63 22
23 48 32
63 13 36
37 76 45
58 1 31
15 81 51
46 73 31
5 47 67
43 89 46
69 96 58
62 10 50
56 98 94
72 27 26
43 9 30
50 16 100
71 6 100
63 22 82
26 100 18
34 65 69
40 66 5
50 72 38
87 20 46
27 97 73
17 1 78
79 97 36
22 69 48
94 47 46
10 4 69
2 77 30
7 29 57
52 45 100
80 30 21
63 43 45
24 65 37
70 43 6
55 34 51
54 66 99
58 39 5
87 61 44
45 93 63
88 38 33
92 76 67
80 84 44
78 46 7
36 13 57
33 33 63
34 33 82
40 4 59
32 76 100
3 22 60
57 42 18
11 7 18
24 49 85
15 100 6
85 31 23
31 49 13
58 27 36
89 99 36
10 8 80
22 7 55
15 53 86
87 29 79
66 100 43
92 55 22
10 39 1
24 76 15
12 66 67
76 7 81
45 38 90
84 48 99
63 48 52
94 32 38
1 98 67
70 15 47
70 1 58
74 93 45
6 76 100
6 33 14
8 70 45
91 29 43
16 21 74
44 81 92
72 13 91
75 25 47
69 47 23
67 58 96
13 61 18
48 75 15
6 66 17
20 21 74
34 85 88
38 55 30
81 8 20
51 28 95
4 79 63
32 26 45
78 58 60
67 56 32
37 71 98
70 5 67
41 54 22
65 62 85
20 87 37
20 57 57
73 35 89
62 2 79
73 24 49
97 16 44
12 3 28
81 65 94
45 11 27
15 70 49
43 86 50
37 19 90
96 5 59
13 75 28
16 88 48
66 94 4
75 43 51
40 45 53
66 1 85
29 41 88
2 48 69
74 81 53
60 76 17
27 82 73
23 24 39
76 85 28
23 7 98
83 22 98
36 76 42
80 49 25
34 46 39
59 91 10
2 29 50
10 72 18
84 56 40
19 91 21
42 5 34
95 42 100
71 42 27
32 58 14
99 62 22
100 82 100
48 94 49
62 48 73
53 87 10
45 43 51
26 85 52
88 69 59
96 79 78
15 39 73
85 90 79
93 86 51
7 51 65
49 7 76
3 4 76
66 82 14
23 42 58
6 41 73
50 73 20
7 23 51
72 57 74
61 44 53
41 95 65
58 53 77
72 93 97
18 20 31
81 12 49
92 72 97
51 3 65
56 24 65
30 22 68
60 97 16
80 84 77
31 100 48
84 17 51
32 41 3
55 56 62
90 5 21
12 17 3
39 63 32
6 66 70
26 15 5
44 7 60
92 69 60
77 40 63
52 12 71
2 26 94
13 78 55
34 28 71
39 46 66
59 17 54
77 38 93
30 36 33
61 40 66
38 10 66
12 8 79
92 70 71
11 73 93
11 23 85
70 44 10
39 93 30
94 100 99
52 4 82
29 92 98
27 91 76
93 41 74
81 8 64
12 100 75
61 85 63
66 79 90
79 3 38
30 32 76
11 30 26
43 8 47
68 37 6
33 4 24
43 89 11
60 70 40
44 17 10
11 37 20
83 55 71
89 31 17
69 40 4
5 23 59
68 26 34
15 63 39
7 44 17
43 86 60
20 4 42
20 66 55
96 57 2
49 61 93
56 35 55
89 54 78
31 15 48
19 54 12
13 30 49
25 98 68
62 23 3
20 76 50
66 57 41
11 37 96
10 34 34
96 55 40
22 11 22
16 24 68
66 54 2
45 16 59
49 20 100
80 77 64
83 73 81
53 26 32
11 64 96
19 91 14
96 80 81
56 94 26
47 16 39
35 35 69
13 52 57
43 63 70
94 60 55
37 80 38
32 100 21
59 76 89
92 71 6
53 8 15
2 56 27
93 48 70
63 98 62
34 64 31
60 21 41
80 29 99
99 55 12
59 20 40
3 84 74
16 51 39
91 75 31
19 17 49
83 58 75
7 94 76
32 10 75
86 93 92
77 73 84
50 78 24
27 88 30
14 77 51
73 71 58
63 66 78
6 47 80
29 58 78
74 18 38
30 86 21
48 18 66
87 60 40
8 61 1
94 65 63
91 59 88
71 91 45
85 52 64
90 78 10
9 27 16
75 52 64
20 42 40
35 60 67
28 1 14
48 54 73
21 23 91
63 90 11
83 15 66
64 95 82
31 74 28
72 75 99
84 62 27
29 91 18
86 39 63
36 57 48
10 21 6
9 6 38
64 37 74
89 12 32
85 44 78
15 62 29
83 66 35
12 11 17
74 73 40
19 67 61
5 32 2
93 100 66
70 11 61
15 76 98
55 61 38
45 39 100
23 34 35
